,MotieID,date,Indiener,Indiener_party,Medeindiener_1,Medeindiener_party_1,Medeindiener_2,Medeindiener_party_2,Medeindiener_3,Medeindiener_party_3,Medeindiener_4,Medeindiener_party_4,Medeindiener_5,Medeindiener_party_5,Medeindiener_6,Medeindiener_party_6,Medeindiener_7,Medeindiener_party_7,Medeindiener_8,Medeindiener_party_8,Medeindiener_9,Medeindiener_party_9,Medeindiener_10,Medeindiener_party_10,Medeindiener_11,Medeindiener_party_11,Medeindiener_12,Medeindiener_party_12,Medeindiener_13,Medeindiener_party_13
127,21501-02-2015,22 mei 2019,Eerste ondertekenaar Esther Ouwehand, Partij voor de Dieren,,,,,,,,,,,,,,,,,,,,,,,,,,
128,21501-02-2018,11 juni 2019,Renske Leijten, Socialistische Partij,,,,,,,,,,,,,,,,,,,,,,,,,,
129,21501-02-2019,11 juni 2019,Pieter Omtzigt, Christen-Democratisch Appèl,Anne Mulder, Volkspartij voor Vrijheid en Democratie,N. Drost, ChristenUnie,,,,,,,,,,,,,,,,,,,,,,
130,21501-02-2020,11 juni 2019,Vicky Maeijer, Partij voor de Vrijheid,,,,,,,,,,,,,,,,,,,,,,,,,,
131,21501-02-2021,11 juni 2019,Vicky Maeijer, Partij voor de Vrijheid,,,,,,,,,,,,,,,,,,,,,,,,,,
132,21501-02-2042,12 september 2019,Chris van Dam, Christen-Democratisch Appèl,Sjoerd Sjoerdsma, Democraten 66,,,,,,,,,,,,,,,,,,,,,,,,
133,21501-02-2043,12 september 2019,Jan Paternotte, Democraten 66,Pieter Omtzigt, Christen-Democratisch Appèl,,,,,,,,,,,,,,,,,,,,,,,,
134,21501-02-2044,12 september 2019,Eerste ondertekenaar Chris van Dam, Christen-Democratisch Appèl,Mede ondertekenaar Sjoerd Sjoerdsma, Democraten 66,,,,,,,,,,,,,,,,,,,,,,,,
135,21501-07-1577,7 februari 2019,Evert Jan Slootweg, Christen-Democratisch Appèl,M.J. van Rooijen, 50PLUS,Roald van der Linde, Volkspartij voor Vrijheid en Democratie,Chris Stoffer, Staatkundig Gereformeerde Partij,Pieter Omtzigt, Christen-Democratisch Appèl,Renske Leijten, Socialistische Partij,Eppo Bruins, ChristenUnie,,,,,,,,,,,,,,
136,21501-07-1578,7 februari 2019,Renske Leijten, Socialistische Partij,,,,,,,,,,,,,,,,,,,,,,,,,,
137,21501-07-1584,19 maart 2019,Renske Leijten, Socialistische Partij,Mahir Alkaya, Socialistische Partij,,,,,,,,,,,,,,,,,,,,,,,,
138,21501-07-1585,19 maart 2019,Henk Nijboer, Partij van de Arbeid,,,,,,,,,,,,,,,,,,,,,,,,,,
139,21501-07-1586,19 maart 2019,M.J. van Rooijen, 50PLUS,,,,,,,,,,,,,,,,,,,,,,,,,,
140,21501-07-1588,26 maart 2019,Eerste ondertekenaar Renske Leijten, Socialistische Partij,Mede ondertekenaar Mahir Alkaya, Socialistische Partij,,,,,,,,,,,,,,,,,,,,,,,,
141,21501-07-1589,26 maart 2019,Eerste ondertekenaar Henk Nijboer, Partij van de Arbeid,,,,,,,,,,,,,,,,,,,,,,,,,,
142,21501-07-1590,26 maart 2019,Eerste ondertekenaar Henk Nijboer, Partij van de Arbeid,,,,,,,,,,,,,,,,,,,,,,,,,,
143,21501-07-1591,26 maart 2019,Eerste ondertekenaar Henk Nijboer, Partij van de Arbeid,,,,,,,,,,,,,,,,,,,,,,,,,,
144,21501-07-1608,11 juni 2019,Renske Leijten, Socialistische Partij,,,,,,,,,,,,,,,,,,,,,,,,,,
145,21501-07-1609,11 juni 2019,Renske Leijten, Socialistische Partij,,,,,,,,,,,,,,,,,,,,,,,,,,
146,21501-07-1611,12 juni 2019,Eerste ondertekenaar Renske Leijten, Socialistische Partij,,,,,,,,,,,,,,,,,,,,,,,,,,
147,21501-08-749,13 december 2018,Suzanne Kröger, GroenLinks,,,,,,,,,,,,,,,,,,,,,,,,,,
148,21501-08-750,13 december 2018,Suzanne Kröger, GroenLinks,,,,,,,,,,,,,,,,,,,,,,,,,,
149,21501-08-751,13 december 2018,Suzanne Kröger, GroenLinks,,,,,,,,,,,,,,,,,,,,,,,,,,
150,21501-08-752,13 december 2018,Frank Wassenberg, Partij voor de Dieren,C. Teunissen, Partij voor de Dieren,,,,,,,,,,,,,,,,,,,,,,,,
151,21501-08-753,13 december 2018,Frank Wassenberg, Partij voor de Dieren,C. Teunissen, Partij voor de Dieren,,,,,,,,,,,,,,,,,,,,,,,,
152,21501-08-754,13 december 2018,Cem Laçin, Socialistische Partij,Suzanne Kröger, GroenLinks,,,,,,,,,,,,,,,,,,,,,,,,
153,21501-08-761,14 maart 2019,Suzanne Kröger, GroenLinks,Cem Laçin, Socialistische Partij,,,,,,,,,,,,,,,,,,,,,,,,
154,21501-08-762,14 maart 2019,Suzanne Kröger, GroenLinks,,,,,,,,,,,,,,,,,,,,,,,,,,
155,21501-08-763,14 maart 2019,Frank Wassenberg, Partij voor de Dieren,,,,,,,,,,,,,,,,,,,,,,,,,,
156,21501-08-764,14 maart 2019,Frank Wassenberg, Partij voor de Dieren,,,,,,,,,,,,,,,,,,,,,,,,,,
157,21501-08-765,14 maart 2019,Frank Wassenberg, Partij voor de Dieren,,,,,,,,,,,,,,,,,,,,,,,,,,
158,21501-08-766,14 maart 2019,Frank Wassenberg, Partij voor de Dieren,,,,,,,,,,,,,,,,,,,,,,,,,,
159,21501-08-781,3 juli 2019,Suzanne Kröger, GroenLinks,Frank Wassenberg, Partij voor de Dieren,Cem Laçin, Socialistische Partij,,,,,,,,,,,,,,,,,,,,,,
160,21501-08-782,3 juli 2019,Suzanne Kröger, GroenLinks,Bart Snels, GroenLinks,,,,,,,,,,,,,,,,,,,,,,,,
161,21501-08-783,3 juli 2019,Frank Wassenberg, Partij voor de Dieren,Cem Laçin, Socialistische Partij,,,,,,,,,,,,,,,,,,,,,,,,
162,21501-08-784,3 juli 2019,Frank Wassenberg, Partij voor de Dieren,,,,,,,,,,,,,,,,,,,,,,,,,,
163,21501-20-1350,4 juli 2018,Sietse Fritsma, Partij voor de Vrijheid,Geert Wilders, Partij voor de Vrijheid,Vicky Maeijer, Partij voor de Vrijheid,,,,,,,,,,,,,,,,,,,,,,
164,21501-20-1351,4 juli 2018,Pieter Omtzigt, Christen-Democratisch Appèl,Lodewijk Asscher, Partij van de Arbeid,Anne Mulder, Volkspartij voor Vrijheid en Democratie,,,,,,,,,,,,,,,,,,,,,,
165,21501-20-1352,4 juli 2018,Pieter Omtzigt, Christen-Democratisch Appèl,Madeleine van Toorenburg, Christen-Democratisch Appèl,,,,,,,,,,,,,,,,,,,,,,,,
166,21501-20-1353,5 juli 2018,Eerste ondertekenaar Pieter Omtzigt, Christen-Democratisch Appèl,Mede ondertekenaar Madeleine van Toorenburg, Christen-Democratisch Appèl,,,,,,,,,,,,,,,,,,,,,,,,
167,21501-20-1360,13 september 2018,Renske Leijten, Socialistische Partij,Indiener: Paul van Meenen, Democraten 66,Indiener: F.B.J. Grapperhaus, minister van Justitie en Veiligheid,Indiener: S.A. Blok, minister van Buitenlandse Zaken,,,,,,,,,,,,,,,,,,,,
168,21501-20-1361,13 september 2018,Bram van Ojik, GroenLinks,Joël Voordewind, ChristenUnie,,,,,,,,,,,,,,,,,,,,,,,,
169,21501-20-1362,13 september 2018,Vicky Maeijer, Partij voor de Vrijheid,Gidi Markuszower, Partij voor de Vrijheid,,,,,,,,,,,,,,,,,,,,,,,,
170,21501-20-1363,13 september 2018,Vicky Maeijer, Partij voor de Vrijheid,Geert Wilders, Partij voor de Vrijheid,,,,,,,,,,,,,,,,,,,,,,,,
